Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8e90c17837badbfbe0d4e1f35c8632e0d45b8cc8f069cd2c26552fb92049ff7d,2019-03,West Midlands Police,West Midlands Police,-1.833875,52.423461,On or near SOLIHULL LANE,E01032589,Birmingham 132E,Unable to prosecute suspect
864cbef7dcca83c29ee0c294ebbaa5e8f2735707a0d9556daf035bc381c9d619,2019-03,West Midlands Police,West Midlands Police,-1.768617,52.467573,On or near RAGDENE ROAD,E01009321,Birmingham 069C,Unable to prosecute suspect
d5e0b44872cbc0b6c9e07f936e3becd3dc0ccc68d68c0a0e271d4f53bf88f706,2019-03,West Midlands Police,West Midlands Police,-1.778582,52.520543,On or near NEWCASTLE CROFT,E01009097,Birmingham 029B,Unable to prosecute suspect
f8e75daa0d01d8e7fc9ecee26e108c7fc583659fc511f46a98509019aa4a3079,2019-03,West Midlands Police,West Midlands Police,-1.877262,52.458035,On or near Parking Area,E01009375,Birmingham 083B,Investigation complete; no suspect identified
e91cebf323561b95a0aff1b7e7d1d8a4bfe62946bccb05efc8f5c605908474c7,2019-03,West Midlands Police,West Midlands Police,-1.865537,52.524413,On or near MARSH HILL,E01009410,Birmingham 026D,Suspect charged
acc418ee39eef60b09a0a07fdcc3bf69c4a9c3beb12ad62d819ee52367734163,2019-03,West Midlands Police,West Midlands Police,-1.836357,52.535416,On or near TRIDENT CLOSE,E01009001,Birmingham 018A,Investigation complete; no suspect identified
b86cb02b078ba27a6f5858f191777fec6160e6bcf1319d8ce1a7ae21a3dc1903,2019-03,West Midlands Police,West Midlands Police,-1.832191,52.533873,On or near ROGERFIELD ROAD,E01033632,Birmingham 023F,Investigation complete; no suspect identified
d98704f80de2db941a564297ae70cf90c1edc9d7f78f572629f47d7192913055,2019-03,West Midlands Police,West Midlands Police,-1.831291,52.441491,On or near DRYDEN GROVE,E01009022,Birmingham 098B,Unable to prosecute suspect
f22d274eac921f30106b8b71306e84e34e293a1186bd5798416bf9d3331bd997,2019-03,West Midlands Police,West Midlands Police,-1.781077,52.493020,On or near CLUNBURY CROFT,E01009306,Birmingham 046B,Investigation complete; no suspect identified
1083acf477089a813ae36a07da27ea75dc6727e64edc0659ef1780f31bcf2dd1,2019-03,West Midlands Police,West Midlands Police,-1.832775,52.512163,On or near LYDFORD GROVE,E01009104,Birmingham 028E,Investigation complete; no suspect identified
6b3c317b6d6d4d21ebccfbd08499fac7c562e296d9dbf01305d5b355d211d777,2019-03,West Midlands Police,West Midlands Police,-1.800310,52.496632,On or near FOWEY ROAD,E01009087,Birmingham 042C,Suspect charged
6043fab665d74e4c9abe462fb19ed2d307579f844c7b78c9d374c0caeb334640,2019-03,West Midlands Police,West Midlands Police,-1.851371,52.507612,On or near Petrol Station,E01009401,Birmingham 031F,Investigation complete; no suspect identified
61908e9e4a278d76a83b19e5557b53eb29a8c8f3fbc7b31fba62417ba1a75490,2019-03,West Midlands Police,West Midlands Police,-1.827816,52.563291,On or near GARRARD GARDENS,E01009449,Birmingham 009A,Investigation complete; no suspect identified
f3e17ee88f6ad31792b2694ed36a1c0b87447ff8a32c7b50ffdd8412fd7cb824,2019-03,West Midlands Police,West Midlands Police,-1.890203,52.444392,On or near DOWELLS CLOSE,E01009184,Birmingham 092B,Investigation complete; no suspect identified
eeef23f5d9d6904e0fe7f700bc5ccdfd81b30a07adab439eb54d21722241c5ff,2019-03,West Midlands Police,West Midlands Police,-1.759538,52.499469,On or near HALL HAYS ROAD,E01009308,Birmingham 046C,Investigation complete; no suspect identified
945af2cc94834efd8c4334146f75769704ad0dfcd2be29ee5f21c6d76a50c6e2,2019-03,West Midlands Police,West Midlands Police,-1.858788,52.441104,On or near SPRINGFIELD ROAD,E01009395,Birmingham 097F,Investigation complete; no suspect identified
1adbf2db88614b0a974fcc1e6beff956a88303fcc065621c570fa393509ac46a,2019-03,West Midlands Police,West Midlands Police,-1.818194,52.524854,On or near SPRINGTHORPE GREEN,E01009009,Birmingham 025B,Investigation complete; no suspect identified
0bae7ca4251d5703522e98ab94efaa3d0a607db8c7de90dde1eff81e9d88757d,2019-03,West Midlands Police,West Midlands Police,-1.900794,52.458147,On or near CONSTANCE ROAD,E01008984,Birmingham 074A,Investigation complete; no suspect identified
eb98f259f5d0b2c6b62c492b5b91f0c9e6903dcb6790c0a99ae1d3e4b5cb7e33,2019-03,West Midlands Police,West Midlands Police,-1.821211,52.485833,On or near WEST VIEW,E01009477,Birmingham 055C,Investigation complete; no suspect identified
4d42e203280ae242deaf0883fca241ca86b72f6700f3876400279049056267c2,2019-03,West Midlands Police,West Midlands Police,-1.872372,52.459504,On or near Supermarket,E01009371,Birmingham 077D,Investigation complete; no suspect identified
2ea44debb4ec1e2aae1efb571d47b80e832fd79221a9b8be7374e0205d2c535d,2019-03,West Midlands Police,West Midlands Police,-1.872372,52.459504,On or near Supermarket,E01009371,Birmingham 077D,Investigation complete; no suspect identified
137f68e028b34643bc8fb259259f88d62233dcedd4662376d0cce38876b10a85,2019-03,West Midlands Police,West Midlands Police,-1.872372,52.459504,On or near Supermarket,E01009371,Birmingham 077D,Investigation complete; no suspect identified
